index,code,value,date,freq
0,AP2Y,612.0,2002-01-01,a
1,AP2Y,593.0,2003-01-01,a
2,AP2Y,641.0,2004-01-01,a
3,AP2Y,632.0,2005-01-01,a
4,AP2Y,609.0,2006-01-01,a
5,AP2Y,662.0,2007-01-01,a
6,AP2Y,638.0,2008-01-01,a
7,AP2Y,450.0,2009-01-01,a
8,AP2Y,469.0,2010-01-01,a
9,AP2Y,470.0,2011-01-01,a
10,AP2Y,480.0,2012-01-01,a
11,AP2Y,533.0,2013-01-01,a
12,AP2Y,658.0,2014-01-01,a
13,AP2Y,733.0,2015-01-01,a
14,AP2Y,750.0,2016-01-01,a
15,AP2Y,790.0,2017-01-01,a
16,AP2Y,835.0,2018-01-01,a
17,AP2Y,827.0,2019-01-01,a
18,AP2Y,570.0,2020-01-01,a
19,AP2Y,913.0,2021-01-01,a
20,AP2Y,1252.0,2022-01-01,a
21,AP2Y,680.0,2001-04-01,q
22,AP2Y,663.0,2001-07-01,q
23,AP2Y,602.0,2001-10-01,q
24,AP2Y,617.0,2002-01-01,q
25,AP2Y,616.0,2002-04-01,q
26,AP2Y,609.0,2002-07-01,q
27,AP2Y,603.0,2002-10-01,q
28,AP2Y,594.0,2003-01-01,q
29,AP2Y,579.0,2003-04-01,q
30,AP2Y,592.0,2003-07-01,q
31,AP2Y,615.0,2003-10-01,q
32,AP2Y,624.0,2004-01-01,q
33,AP2Y,641.0,2004-04-01,q
34,AP2Y,654.0,2004-07-01,q
35,AP2Y,662.0,2004-10-01,q
36,AP2Y,642.0,2005-01-01,q
37,AP2Y,642.0,2005-04-01,q
38,AP2Y,622.0,2005-07-01,q
39,AP2Y,609.0,2005-10-01,q
40,AP2Y,600.0,2006-01-01,q
41,AP2Y,604.0,2006-04-01,q
42,AP2Y,611.0,2006-07-01,q
43,AP2Y,620.0,2006-10-01,q
44,AP2Y,642.0,2007-01-01,q
45,AP2Y,658.0,2007-04-01,q
46,AP2Y,683.0,2007-07-01,q
47,AP2Y,687.0,2007-10-01,q
48,AP2Y,697.0,2008-01-01,q
49,AP2Y,657.0,2008-04-01,q
50,AP2Y,615.0,2008-07-01,q
51,AP2Y,527.0,2008-10-01,q
52,AP2Y,465.0,2009-01-01,q
53,AP2Y,431.0,2009-04-01,q
54,AP2Y,436.0,2009-07-01,q
55,AP2Y,454.0,2009-10-01,q
56,AP2Y,465.0,2010-01-01,q
57,AP2Y,484.0,2010-04-01,q
58,AP2Y,455.0,2010-07-01,q
59,AP2Y,483.0,2010-10-01,q
60,AP2Y,484.0,2011-01-01,q
61,AP2Y,460.0,2011-04-01,q
62,AP2Y,464.0,2011-07-01,q
63,AP2Y,465.0,2011-10-01,q
64,AP2Y,467.0,2012-01-01,q
65,AP2Y,474.0,2012-04-01,q
66,AP2Y,488.0,2012-07-01,q
67,AP2Y,501.0,2012-10-01,q
68,AP2Y,504.0,2013-01-01,q
69,AP2Y,533.0,2013-04-01,q
70,AP2Y,548.0,2013-07-01,q
71,AP2Y,573.0,2013-10-01,q
72,AP2Y,615.0,2014-01-01,q
73,AP2Y,662.0,2014-04-01,q
74,AP2Y,687.0,2014-07-01,q
75,AP2Y,708.0,2014-10-01,q
76,AP2Y,727.0,2015-01-01,q
77,AP2Y,732.0,2015-04-01,q
78,AP2Y,742.0,2015-07-01,q
79,AP2Y,745.0,2015-10-01,q
80,AP2Y,744.0,2016-01-01,q
81,AP2Y,750.0,2016-04-01,q
82,AP2Y,755.0,2016-07-01,q
83,AP2Y,757.0,2016-10-01,q
84,AP2Y,777.0,2017-01-01,q
85,AP2Y,781.0,2017-04-01,q
86,AP2Y,798.0,2017-07-01,q
87,AP2Y,821.0,2017-10-01,q
88,AP2Y,818.0,2018-01-01,q
89,AP2Y,828.0,2018-04-01,q
90,AP2Y,843.0,2018-07-01,q
91,AP2Y,857.0,2018-10-01,q
92,AP2Y,850.0,2019-01-01,q
93,AP2Y,819.0,2019-04-01,q
94,AP2Y,816.0,2019-07-01,q
95,AP2Y,811.0,2019-10-01,q
96,AP2Y,801.0,2020-01-01,q
97,AP2Y,326.0,2020-04-01,q
98,AP2Y,488.0,2020-07-01,q
99,AP2Y,601.0,2020-10-01,q
100,AP2Y,634.0,2021-01-01,q
101,AP2Y,864.0,2021-04-01,q
102,AP2Y,1121.0,2021-07-01,q
103,AP2Y,1241.0,2021-10-01,q
104,AP2Y,1293.0,2022-01-01,q
105,AP2Y,1299.0,2022-04-01,q
106,AP2Y,1232.0,2022-07-01,q
107,AP2Y,1151.0,2022-10-01,q
108,AP2Y,1119.0,2023-01-01,q
109,AP2Y,1036.0,2023-04-01,q
110,AP2Y,680.0,2001-05-01,m
111,AP2Y,674.0,2001-06-01,m
112,AP2Y,663.0,2001-07-01,m
113,AP2Y,663.0,2001-08-01,m
114,AP2Y,639.0,2001-09-01,m
115,AP2Y,626.0,2001-10-01,m
116,AP2Y,602.0,2001-11-01,m
117,AP2Y,605.0,2001-12-01,m
118,AP2Y,616.0,2002-01-01,m
119,AP2Y,617.0,2002-02-01,m
120,AP2Y,621.0,2002-03-01,m
121,AP2Y,613.0,2002-04-01,m
122,AP2Y,616.0,2002-05-01,m
123,AP2Y,612.0,2002-06-01,m
124,AP2Y,613.0,2002-07-01,m
125,AP2Y,609.0,2002-08-01,m
126,AP2Y,609.0,2002-09-01,m
127,AP2Y,608.0,2002-10-01,m
128,AP2Y,603.0,2002-11-01,m
129,AP2Y,602.0,2002-12-01,m
130,AP2Y,596.0,2003-01-01,m
131,AP2Y,594.0,2003-02-01,m
132,AP2Y,585.0,2003-03-01,m
133,AP2Y,588.0,2003-04-01,m
134,AP2Y,579.0,2003-05-01,m
135,AP2Y,574.0,2003-06-01,m
136,AP2Y,576.0,2003-07-01,m
137,AP2Y,592.0,2003-08-01,m
138,AP2Y,604.0,2003-09-01,m
139,AP2Y,610.0,2003-10-01,m
140,AP2Y,615.0,2003-11-01,m
141,AP2Y,613.0,2003-12-01,m
142,AP2Y,617.0,2004-01-01,m
143,AP2Y,624.0,2004-02-01,m
144,AP2Y,631.0,2004-03-01,m
145,AP2Y,636.0,2004-04-01,m
146,AP2Y,641.0,2004-05-01,m
147,AP2Y,652.0,2004-06-01,m
148,AP2Y,654.0,2004-07-01,m
149,AP2Y,654.0,2004-08-01,m
150,AP2Y,654.0,2004-09-01,m
151,AP2Y,658.0,2004-10-01,m
152,AP2Y,662.0,2004-11-01,m
153,AP2Y,661.0,2004-12-01,m
154,AP2Y,655.0,2005-01-01,m
155,AP2Y,642.0,2005-02-01,m
156,AP2Y,638.0,2005-03-01,m
157,AP2Y,642.0,2005-04-01,m
158,AP2Y,642.0,2005-05-01,m
159,AP2Y,633.0,2005-06-01,m
160,AP2Y,624.0,2005-07-01,m
161,AP2Y,622.0,2005-08-01,m
162,AP2Y,608.0,2005-09-01,m
163,AP2Y,606.0,2005-10-01,m
164,AP2Y,609.0,2005-11-01,m
165,AP2Y,615.0,2005-12-01,m
166,AP2Y,612.0,2006-01-01,m
167,AP2Y,600.0,2006-02-01,m
168,AP2Y,598.0,2006-03-01,m
169,AP2Y,597.0,2006-04-01,m
170,AP2Y,604.0,2006-05-01,m
171,AP2Y,607.0,2006-06-01,m
172,AP2Y,611.0,2006-07-01,m
173,AP2Y,611.0,2006-08-01,m
174,AP2Y,618.0,2006-09-01,m
175,AP2Y,620.0,2006-10-01,m
176,AP2Y,620.0,2006-11-01,m
177,AP2Y,619.0,2006-12-01,m
178,AP2Y,629.0,2007-01-01,m
179,AP2Y,642.0,2007-02-01,m
180,AP2Y,648.0,2007-03-01,m
181,AP2Y,651.0,2007-04-01,m
182,AP2Y,658.0,2007-05-01,m
183,AP2Y,670.0,2007-06-01,m
184,AP2Y,681.0,2007-07-01,m
185,AP2Y,683.0,2007-08-01,m
186,AP2Y,686.0,2007-09-01,m
187,AP2Y,691.0,2007-10-01,m
188,AP2Y,687.0,2007-11-01,m
189,AP2Y,678.0,2007-12-01,m
190,AP2Y,687.0,2008-01-01,m
191,AP2Y,697.0,2008-02-01,m
192,AP2Y,696.0,2008-03-01,m
193,AP2Y,679.0,2008-04-01,m
194,AP2Y,657.0,2008-05-01,m
195,AP2Y,643.0,2008-06-01,m
196,AP2Y,624.0,2008-07-01,m
197,AP2Y,615.0,2008-08-01,m
198,AP2Y,596.0,2008-09-01,m
199,AP2Y,562.0,2008-10-01,m
200,AP2Y,527.0,2008-11-01,m
201,AP2Y,497.0,2008-12-01,m
202,AP2Y,478.0,2009-01-01,m
203,AP2Y,465.0,2009-02-01,m
204,AP2Y,455.0,2009-03-01,m
205,AP2Y,443.0,2009-04-01,m
206,AP2Y,431.0,2009-05-01,m
207,AP2Y,430.0,2009-06-01,m
208,AP2Y,438.0,2009-07-01,m
209,AP2Y,436.0,2009-08-01,m
210,AP2Y,432.0,2009-09-01,m
211,AP2Y,437.0,2009-10-01,m
212,AP2Y,454.0,2009-11-01,m
213,AP2Y,463.0,2009-12-01,m
214,AP2Y,467.0,2010-01-01,m
215,AP2Y,465.0,2010-02-01,m
216,AP2Y,469.0,2010-03-01,m
217,AP2Y,479.0,2010-04-01,m
218,AP2Y,484.0,2010-05-01,m
219,AP2Y,479.0,2010-06-01,m
220,AP2Y,461.0,2010-07-01,m
221,AP2Y,455.0,2010-08-01,m
222,AP2Y,454.0,2010-09-01,m
223,AP2Y,474.0,2010-10-01,m
224,AP2Y,483.0,2010-11-01,m
225,AP2Y,493.0,2010-12-01,m
226,AP2Y,490.0,2011-01-01,m
227,AP2Y,484.0,2011-02-01,m
228,AP2Y,472.0,2011-03-01,m
229,AP2Y,461.0,2011-04-01,m
230,AP2Y,460.0,2011-05-01,m
231,AP2Y,457.0,2011-06-01,m
232,AP2Y,462.0,2011-07-01,m
233,AP2Y,464.0,2011-08-01,m
234,AP2Y,467.0,2011-09-01,m
235,AP2Y,462.0,2011-10-01,m
236,AP2Y,465.0,2011-11-01,m
237,AP2Y,473.0,2011-12-01,m
238,AP2Y,473.0,2012-01-01,m
239,AP2Y,467.0,2012-02-01,m
240,AP2Y,465.0,2012-03-01,m
241,AP2Y,471.0,2012-04-01,m
242,AP2Y,474.0,2012-05-01,m
243,AP2Y,479.0,2012-06-01,m
244,AP2Y,484.0,2012-07-01,m
245,AP2Y,488.0,2012-08-01,m
246,AP2Y,491.0,2012-09-01,m
247,AP2Y,494.0,2012-10-01,m
248,AP2Y,501.0,2012-11-01,m
249,AP2Y,501.0,2012-12-01,m
250,AP2Y,504.0,2013-01-01,m
251,AP2Y,504.0,2013-02-01,m
252,AP2Y,516.0,2013-03-01,m
253,AP2Y,522.0,2013-04-01,m
254,AP2Y,533.0,2013-05-01,m
255,AP2Y,540.0,2013-06-01,m
256,AP2Y,536.0,2013-07-01,m
257,AP2Y,548.0,2013-08-01,m
258,AP2Y,553.0,2013-09-01,m
259,AP2Y,568.0,2013-10-01,m
260,AP2Y,573.0,2013-11-01,m
261,AP2Y,581.0,2013-12-01,m
262,AP2Y,595.0,2014-01-01,m
263,AP2Y,615.0,2014-02-01,m
264,AP2Y,637.0,2014-03-01,m
265,AP2Y,653.0,2014-04-01,m
266,AP2Y,662.0,2014-05-01,m
267,AP2Y,670.0,2014-06-01,m
268,AP2Y,682.0,2014-07-01,m
