"Figure 1: The estimated number of vacancies fell on the quarter to 1,105,000",""
"Number of vacancies in the UK, seasonally adjusted, January to March 2004 to January to March 2023",""
"",""
"Notes",""
"Unit","Thousands"
"",""
"Period","Thousands"
"Jan to Mar 2004","624"
"Feb to Apr 2004","631"
"Mar to May 2004","636"
"Apr to Jun 2004","641"
"May to Jul 2004","652"
"Jun to Aug 2004","654"
"Jul to Sep 2004","654"
"Aug to Oct 2004","654"
"Sep to Nov 2004","658"
"Oct to Dec 2004","662"
"Nov to Jan 2005","661"
"Dec to Feb 2005","655"
"Jan to Mar 2005","642"
"Feb to Apr 2005","638"
"Mar to May 2005","642"
"Apr to Jun 2005","642"
"May to Jul 2005","633"
"Jun to Aug 2005","624"
"Jul to Sep 2005","622"
"Aug to Oct 2005","608"
"Sep to Nov 2005","606"
"Oct to Dec 2005","609"
"Nov to Jan 2006","615"
"Dec to Feb 2006","612"
"Jan to Mar 2006","600"
"Feb to Apr 2006","598"
"Mar to May 2006","597"
"Apr to Jun 2006","604"
"May to Jul 2006","607"
"Jun to Aug 2006","611"
"Jul to Sep 2006","611"
"Aug to Oct 2006","618"
"Sep to Nov 2006","620"
"Oct to Dec 2006","620"
"Nov to Jan 2007","619"
"Dec to Feb 2007","629"
"Jan to Mar 2007","642"
"Feb to Apr 2007","648"
"Mar to May 2007","651"
"Apr to Jun 2007","658"
"May to Jul 2007","670"
"Jun to Aug 2007","681"
"Jul to Sep 2007","683"
"Aug to Oct 2007","686"
"Sep to Nov 2007","691"
"Oct to Dec 2007","687"
"Nov to Jan 2008","678"
"Dec to Feb 2008","687"
"Jan to Mar 2008","697"
"Feb to Apr 2008","696"
"Mar to May 2008","679"
"Apr to Jun2008","657"
"May to Jul 2008","643"
"Jun to Aug 2008","624"
"Jul to Sep 2008","615"
"Aug to Oct 2008","596"
"Sep to Nov 2008","562"
"Oct to Dec 2008","527"
"Nov to Jan 2009","497"
"Dec to Feb 2009","478"
"Jan to Mar 2009","465"
"Feb to Apr 2009","455"
"Mar to May 2009","443"
"Apr to Jun 2009","431"
"May to Jul 2009","430"
"Jun to Aug 2009","438"
"Jul to Sep 2009","436"
"Aug to Oct 2009","432"
"Sep to Nov 2009","437"
"Oct to Dec 2009","454"
"Nov to Jan 2010","463"
"Dec to Feb 2010","467"
"Jan to Mar 2010","465"
"Feb to Apr 2010","469"
"Mar to May 2010","479"
"Apr to Jun 2010","484"
"May to Jul 2010","479"
"Jun to Aug 2010","461"
"Jul to Sep 2010","455"
"Aug to Oct 2010","454"
"Sep to Nov 2010","474"
"Oct to Dec 2010","483"
"Nov to Jan 2011","493"
"Dec to Feb 2011","490"
"Jan to Mar 2011","484"
"Feb to Apr 2011","472"
"Mar to May 2011","461"
"Apr to Jun 2011","460"
"May to Jul 2011","457"
"Jun to Aug 2011","462"
"Jul to Sep 2011","464"
"Aug to Oct 2011","467"
"Sep to Nov 2011","462"
"Oct to Dec 2011","465"
"Nov to Jan 2012","473"
"Dec to Feb 2012","473"
"Jan to Mar 2012","467"
"Feb to Apr 2012","465"
"Mar to May 2012","471"
"Apr to Jun 2012","474"
"May to Jul 2012","479"
"Jun to Aug 2012","484"
"Jul to Sep 2012","488"
"Aug to Oct 2012","491"
"Sep to Nov 2012","494"
"Oct to Dec 2012","501"
"Nov to Jan 2013","501"
"Dec to Feb 2013","504"
"Jan to Mar 2013","504"
"Feb to Apr 2013","516"
"Mar to May 2013","522"
"Apr to Jun 2013","533"
"May to Jul 2013","540"
"Jun to Aug 2013","536"
"Jul to Sep 2013","548"
"Aug to Oct 2013","553"
"Sep to Nov 2013","568"
"Oct to Dec 2013","573"
"Nov to Jan 2014","581"
"Dec to Feb 2014","595"
"Jan to Mar 2014","615"
"Feb to Apr 2014","637"
"Mar to May 2014","653"
"Apr to Jun 2014","662"
"May to Jul 2014","670"
"Jun to Aug 2014","682"
"Jul to Sep 2014","687"
"Aug to Oct 2014","703"
"Sep to Nov 2014","704"
"Oct to Dec 2014","708"
"Nov to Jan 2015","708"
"Dec to Feb 2015","719"
"Jan to Mar 2015","727"
"Feb to Apr 2015","727"
"Mar to May 2015","727"
"Apr to Jun 2015","732"
"May to Jul 2015","742"
"Jun to Aug 2015","743"
"Jul to Sep 2015","742"
"Aug to Oct 2015","743"
"Sep to Nov 2015","743"
"Oct to Dec 2015","745"
"Nov to Jan 2016","747"
"Dec to Feb 2016","743"
"Jan to Mar 2016","744"
"Feb to Apr 2016","744"
"Mar to May 2016","747"
"Apr to Jun 2016","750"
"May to Jul 2016","749"
"Jun to Aug 2016","754"
"Jul to Sep 2016","755"
"Aug to Oct 2016","758"
"Sep to Nov 2016","755"
"Oct to Dec 2016","757"
"Nov to Jan 2017","759"
"Dec to Feb 2017","770"
"Jan to Mar 2017","777"
"Feb to Apr 2017","792"
"Mar to May 2017","784"
"Apr to Jun 2017","781"
"May to Jul 2017","781"
"Jun to Aug 2017","790"
"Jul to Sep 2017","798"
"Aug to Oct 2017","805"
"Sep to Nov 2017","816"
"Oct to Dec 2017","821"
"Nov to Jan 2018","828"
"Dec to Feb 2018","819"
"Jan to Mar 2018","818"
"Feb to Apr 2018","816"
"Mar to May 2018","820"
"Apr to Jun 2018","828"
"May to Jul 2018","834"
"Jun to Aug 2018","839"
"Jul to Sep 2018","843"
"Aug to Oct 2018","857"
"Sep to Nov 2018","858"
"Oct to Dec 2018","857"
"Nov to Jan 2019","865"
"Dec to Feb 2019","852"
"Jan to Mar 2019","850"
"Feb to Apr 2019","843"
"Mar to May 2019","836"
"Apr to Jun 2019","819"
"May to Jul 2019","817"
"Jun to Aug 2019","811"
"Jul to Sep 2019","816"
"Aug to Oct 2019","804"
"Sep to Nov 2019","803"
"Oct to Dec 2019","811"
"Nov to Jan 2020","822"
"Dec to Feb 2020","826"
"Jan to Mar 2020","801"
"Feb to Apr 2020","642"
"Mar to May 2020","473"
"Apr to Jun 2020","326"
"May to Jul 2020","365"
"Jun to Aug 2020","423"
"Jul to Sep 2020","488"
"Aug to Oct 2020","524"
"Sep to Nov 2020","553"
"Oct to Dec 2020","601"
"Nov to Jan 2021","626"
"Dec to Feb 2021","628"
"Jan to Mar 2021","634"
"Feb to Apr 2021","668"
"Mar to May 2021","767"
"Apr to Jun 2021","864"
"May to Jul 2021","964"
"Jun to Aug 2021","1046"
"Jul to Sep 2021","1121"
"Aug to Oct 2021","1186"
