Response,Total,White,Asian/Asian British,Black/African/Caribbean/Black British,Middle Eastern,Mixed/Multiple,Other
---,---,---,---,---,---,---,---
Yes,57,61,53,54,59,63,48
No,34,33,34,37,32,31,42
Don't know,10,6,13,9,10,7,10
