Response,Total,White,White (exclu. Irish),Asian/ Asian British,Black/ African/ Caribbean/ Black British,Middle Eastern,Mixed / multiple (all),Mixed / multiple (exclu. White Irish/British),Another Ethnic Group
---,---,---,---,---,---,---,---,---,---
Yes,57,63,61,53,54,59,60,63,48
No,34,31,33,34,37,32,32,31,42
Don't know,10,5,6,13,9,10,9,7,10
