Category,Response,Total,White,Asian/Asian British,Black/African/Caribbean/Black British,Middle Eastern,Mixed/Multiple,Other
---,---,---,---,---,---,---,---,
Mental health,My mental health has suffered,45,32,50,43,37,54,67
Education has suffered,My education/grades have suffered,28,20,33,22,26,30,24
Friendships suffered,My relationships with friends have suffered,25,19,25,26,25,21,41
